klaviyo_article_id,source_title,source_url,category_slug,section_id,section,en_file,source_snapshot,body_html,rendered_html,translated,zh_file,uploaded,wp_id,wp_live_status,wp_title,wp_link
33734334633627,FAQ: Feb 18 appreciation discount,https://help.klaviyo.com/hc/en-us/articles/33734334633627-FAQ-Feb-18-appreciation-discount,account-billing,49375453955483,How Klaviyo bills,account-billing/FAQ-Feb-18-appreciation-discount-33734334633627.md,_source/articles/33734334633627.json,_source/articles/33734334633627.body.html,_source/rendered/33734334633627.html,yes,account-billing/FAQ-Feb-18-appreciation-discount.md,yes,10840,publish,常见问题：2月18日升值折扣,https://dynamicycle.com/docs/articles-faq-feb-18-appreciation-discount/
33136281415451,FAQ: Feb 18 billing changes,https://help.klaviyo.com/hc/en-us/articles/33136281415451-FAQ-Feb-18-billing-changes,account-billing,49375453955483,How Klaviyo bills,account-billing/FAQ-Feb-18-billing-changes-33136281415451.md,_source/articles/33136281415451.json,_source/articles/33136281415451.body.html,_source/rendered/33136281415451.html,yes,account-billing/FAQ-Feb-18-billing-changes.md,yes,10951,publish,常见问题解答：2 月 18 日账单变更,https://dynamicycle.com/docs/articles-faq-feb-18-billing-changes/
50588094887323,General Account Security Tips and Tricks,https://help.klaviyo.com/hc/en-us/articles/50588094887323-General-Account-Security-Tips-and-Tricks,account-billing,49375482397083,Security,account-billing/General-Account-Security-Tips-and-Tricks-50588094887323.md,_source/articles/50588094887323.json,_source/articles/50588094887323.body.html,_source/rendered/50588094887323.html,yes,account-billing/General-Account-Security-Tips-and-Tricks.md,yes,10192,upload_meta_only,一般帐户安全提示和技巧,
50588009523227,General Account Security Tips and Tricks,https://help.klaviyo.com/hc/en-us/articles/50588009523227-General-Account-Security-Tips-and-Tricks,account-billing,49375482397083,Security,account-billing/General-Account-Security-Tips-and-Tricks-50588009523227.md,_source/articles/50588009523227.json,_source/articles/50588009523227.body.html,,yes,account-billing/General-Account-Security-Tips-and-Tricks.md,yes,10193,upload_meta_only,一般帐户安全提示和技巧,
24656917054747,Getting started with portfolios,https://help.klaviyo.com/hc/en-us/articles/24656917054747-Getting-started-with-portfolios,account-billing,49375698592155,Portfolio,account-billing/Getting-started-with-portfolios-24656917054747.md,_source/articles/24656917054747.json,_source/articles/24656917054747.body.html,_source/rendered/24656917054747.html,yes,account-billing/Getting-started-with-portfolios.md,yes,10457,upload_meta_only,投资组合入门,
360056419451,Glossary of tax IDs by country,https://help.klaviyo.com/hc/en-us/articles/360056419451-Glossary-of-tax-IDs-by-country,account-billing,49375478116891,Tax information,account-billing/Glossary-of-tax-IDs-by-country-360056419451.md,_source/articles/360056419451.json,_source/articles/360056419451.body.html,_source/rendered/360056419451.html,no,,no,,not_uploaded,,
115000976672,How Klaviyo billing works,https://help.klaviyo.com/hc/en-us/articles/115000976672-How-Klaviyo-billing-works,account-billing,49375453955483,How Klaviyo bills,account-billing/How-Klaviyo-billing-works-115000976672.md,_source/articles/115000976672.json,_source/articles/115000976672.body.html,_source/rendered/115000976672.html,yes,account-billing/How-Klaviyo-billing-works.md,yes,10794,publish,Klaviyo 计费的工作原理,https://dynamicycle.com/docs/articles-how-klaviyo-billing-works/
115000839671,How to access recent exports and downloads,https://help.klaviyo.com/hc/en-us/articles/115000839671-How-to-access-recent-exports-and-downloads,account-billing,49375508721947,Downloaded and scheduled reports,account-billing/How-to-access-recent-exports-and-downloads-115000839671.md,_source/articles/115000839671.json,_source/articles/115000839671.body.html,_source/rendered/115000839671.html,yes,account-billing/How-to-access-recent-exports-and-downloads.md,yes,10795,publish,如何访问最近的导出和下载,https://dynamicycle.com/docs/articles-how-to-access-recent-exports-and-downloads/
360053921252,How to add UTM tracking to campaigns and flows,https://help.klaviyo.com/hc/en-us/articles/360053921252-How-to-add-UTM-tracking-to-campaigns-and-flows,account-billing,49375525020827,UTM tracking,account-billing/How-to-add-UTM-tracking-to-campaigns-and-flows-360053921252.md,_source/articles/360053921252.json,_source/articles/360053921252.body.html,_source/rendered/360053921252.html,yes,account-billing/How-to-add-UTM-tracking-to-campaigns-and-flows.md,yes,10896,publish,如何将 UTM 跟踪添加到活动和流程中,https://dynamicycle.com/docs/articles-how-to-add-utm-tracking-to-campaigns-and-flows/
360053851792,How to add a tag to a campaign or flow,https://help.klaviyo.com/hc/en-us/articles/360053851792-How-to-add-a-tag-to-a-campaign-or-flow,account-billing,49375477142043,Tags,account-billing/How-to-add-a-tag-to-a-campaign-or-flow-360053851792.md,_source/articles/360053851792.json,_source/articles/360053851792.body.html,_source/rendered/360053851792.html,yes,account-billing/How-to-add-a-tag-to-a-campaign-or-flow.md,yes,10897,publish,如何向活动或流程添加标签,https://dynamicycle.com/docs/articles-how-to-add-a-tag-to-a-campaign-or-flow/
