position,menu_name,menu_name_zh,menu_slug,source_url,source_category_id,local_category_slug,article_count,section_count,wp_doc_slug,wp_doc_url,has_local_relation
1,Featured resources,精选资源,featured-resources,https://help.klaviyo.com/hc/en-us/,,,0,0,categories-featured-resources,https://dynamicycle.com/docs/categories-featured-resources/,False
2,Account & billing,账户与计费,account-billing,https://help.klaviyo.com/hc/en-us/categories/115000867647,115000867647,account-billing,85,19,categories-account-billing,https://dynamicycle.com/docs/categories-account-billing/,True
3,Advanced KDP & Marketing Analytics,高级 KDP 与营销分析,advanced-kdp-marketing-analytics,https://help.klaviyo.com/hc/en-us/categories/18073014919195,18073014919195,advanced-kdp-marketing-analytics,43,13,categories-advanced-kdp-marketing-analytics,https://dynamicycle.com/docs/categories-advanced-kdp-marketing-analytics/,True
4,Analytics,分析,analytics,https://help.klaviyo.com/hc/en-us/categories/115000874048,115000874048,analytics-audience,81,23,categories-analytics,https://dynamicycle.com/docs/categories-analytics/,True
5,Audience,受众,audience,https://help.klaviyo.com/hc/en-us/categories/115000867867,115000867867,analytics-audience,90,12,categories-audience,https://dynamicycle.com/docs/categories-audience/,True
6,Campaigns,营销活动,campaigns,https://help.klaviyo.com/hc/en-us/categories/49375106949275,49375106949275,campaigns,62,7,categories-campaigns,https://dynamicycle.com/docs/categories-campaigns/,True
7,Content,内容,content,https://help.klaviyo.com/hc/en-us/categories/4414879524891,4414879524891,content,111,13,categories-content,https://dynamicycle.com/docs/categories-content/,True
8,Conversations,会话,conversations,https://help.klaviyo.com/hc/en-us/categories/14234163769755,14234163769755,conversations,25,3,categories-conversations,https://dynamicycle.com/docs/categories-conversations/,True
9,Customer Agent,客户 Agent,customer-agent,https://help.klaviyo.com/hc/en-us/categories/48274996158235,48274996158235,customer-agent,20,5,categories-customer-agent,https://dynamicycle.com/docs/categories-customer-agent/,True
10,Customer Hub,客户中心,customer-hub,https://help.klaviyo.com/hc/en-us/categories/34141283979931,34141283979931,customer-hub,30,4,categories-customer-hub,https://dynamicycle.com/docs/categories-customer-hub/,True
11,Deliverability & compliance,投递与合规,deliverability-compliance,https://help.klaviyo.com/hc/en-us/categories/115000873988,115000873988,deliverability-compliance,61,7,categories-deliverability-compliance,https://dynamicycle.com/docs/categories-deliverability-compliance/,True
12,Flows,自动化流程,flows,https://help.klaviyo.com/hc/en-us/categories/115000312411,115000312411,flows,98,16,categories-flows,https://dynamicycle.com/docs/categories-flows/,True
13,Helpdesk,帮助台,helpdesk,https://help.klaviyo.com/hc/en-us/categories/45954023294747,45954023294747,helpdesk,29,5,categories-helpdesk,https://dynamicycle.com/docs/categories-helpdesk/,True
14,Integrations,集成,integrations,https://help.klaviyo.com/hc/en-us/categories/115000032731,115000032731,integrations,211,71,categories-integrations,https://dynamicycle.com/docs/categories-integrations/,True
15,Push Notifications,推送通知,push-notifications,https://help.klaviyo.com/hc/en-us/categories/50026805374363,50026805374363,campaigns,0,0,categories-push-notifications,https://dynamicycle.com/docs/categories-push-notifications/,False
16,Reviews,评论,reviews,https://help.klaviyo.com/hc/en-us/categories/49375133274139,49375133274139,reviews,45,3,categories-reviews,https://dynamicycle.com/docs/categories-reviews/,True
17,Sign-up forms,注册表单,sign-up-forms,https://help.klaviyo.com/hc/en-us/categories/360000190711,360000190711,sign-up-forms,54,9,categories-sign-up-forms,https://dynamicycle.com/docs/categories-sign-up-forms/,True
18,SMS,短信,sms,https://help.klaviyo.com/hc/en-us/categories/29173800271259,29173800271259,sms-whatsapp,122,29,categories-sms,https://dynamicycle.com/docs/categories-sms/,True
19,Social Marketing,社交营销,social-marketing,https://help.klaviyo.com/hc/en-us/categories/50128030093211,50128030093211,content,3,3,categories-social-marketing,https://dynamicycle.com/docs/categories-social-marketing/,True
20,WhatsApp,WhatsApp,whatsapp,https://help.klaviyo.com/hc/en-us/categories/49375107982619,49375107982619,sms-whatsapp,35,4,categories-whatsapp,https://dynamicycle.com/docs/categories-whatsapp/,True
