category_id,category_name,category_slug,wp_category_id,section_id,section_name,parent_section_id,parent_section_name,section_path,section_source_url
48274996158235,Customer Agent,customer-agent,775425996,49191914194587,Guidance,,,Guidance,https://help.klaviyo.com/hc/en-us/sections/49191914194587-Guidance
48274996158235,Customer Agent,customer-agent,775425996,49192910266011,Launch,,,Launch,https://help.klaviyo.com/hc/en-us/sections/49192910266011-Launch
48274996158235,Customer Agent,customer-agent,775425996,49192766741147,Skills,,,Skills,https://help.klaviyo.com/hc/en-us/sections/49192766741147-Skills
48274996158235,Customer Agent,customer-agent,775425996,49994543708315,Tools,,,Tools,https://help.klaviyo.com/hc/en-us/sections/49994543708315-Tools
48274996158235,Customer Agent,customer-agent,775425996,48275014799387,Training,,,Training,https://help.klaviyo.com/hc/en-us/sections/48275014799387-Training
50128030093211,Social Marketing,social-marketing,775426008,50131245341723,Getting started with Social Marketing,,,Getting started with Social Marketing,https://help.klaviyo.com/hc/en-us/sections/50131245341723-Getting-started-with-Social-Marketing
50128030093211,Social Marketing,social-marketing,775426008,50168641809051,Social Auto-replies,,,Social Auto-replies,https://help.klaviyo.com/hc/en-us/sections/50168641809051-Social-Auto-replies
50128030093211,Social Marketing,social-marketing,775426008,50169761864731,Social Events & Content,,,Social Events & Content,https://help.klaviyo.com/hc/en-us/sections/50169761864731-Social-Events-Content
49375107982619,WhatsApp,whatsapp,775426009,49375959162395,Getting started with WhatsApp,,,Getting started with WhatsApp,https://help.klaviyo.com/hc/en-us/sections/49375959162395-Getting-started-with-WhatsApp
49375107982619,WhatsApp,whatsapp,775426009,49375937946395,Migrate to Klaviyo,,,Migrate to Klaviyo,https://help.klaviyo.com/hc/en-us/sections/49375937946395-Migrate-to-Klaviyo
49375107982619,WhatsApp,whatsapp,775426009,49375968852507,Understand WhatsApp with Klaviyo,,,Understand WhatsApp with Klaviyo,https://help.klaviyo.com/hc/en-us/sections/49375968852507-Understand-WhatsApp-with-Klaviyo
49375107982619,WhatsApp,whatsapp,775426009,49375924951451,Send and use WhatsApp with Klaviyo,,,Send and use WhatsApp with Klaviyo,https://help.klaviyo.com/hc/en-us/sections/49375924951451-Send-and-use-WhatsApp-with-Klaviyo
34141283979931,Customer Hub,customer-hub,775425997,49375871281947,Getting started with Customer Hub,34141442538139,Set up Customer Hub,Set up Customer Hub > Getting started with Customer Hub,https://help.klaviyo.com/hc/en-us/sections/49375871281947-Getting-started-with-Customer-Hub
34141283979931,Customer Hub,customer-hub,775425997,34141442538139,Set up Customer Hub,,,Set up Customer Hub,https://help.klaviyo.com/hc/en-us/sections/34141442538139-Set-up-Customer-Hub
34141283979931,Customer Hub,customer-hub,775425997,49375855492123,Build and use Customer Hub,34141442538139,Set up Customer Hub,Set up Customer Hub > Build and use Customer Hub,https://help.klaviyo.com/hc/en-us/sections/49375855492123-Build-and-use-Customer-Hub
34141283979931,Customer Hub,customer-hub,775425997,49375836735387,Use web chat,,,Use web chat,https://help.klaviyo.com/hc/en-us/sections/49375836735387-Use-web-chat
34141283979931,Customer Hub,customer-hub,775425997,49375862170267,Integrate other platforms with Customer Hub,34141442538139,Set up Customer Hub,Set up Customer Hub > Integrate other platforms with Customer Hub,https://help.klaviyo.com/hc/en-us/sections/49375862170267-Integrate-other-platforms-with-Customer-Hub
45954023294747,Helpdesk,helpdesk,775426000,45954083727259,Foundation & Setup,,,Foundation & Setup,https://help.klaviyo.com/hc/en-us/sections/45954083727259-Foundation-Setup
45954023294747,Helpdesk,helpdesk,775426000,45954133286171,Channel & Integration Management,,,Channel & Integration Management,https://help.klaviyo.com/hc/en-us/sections/45954133286171-Channel-Integration-Management
45954023294747,Helpdesk,helpdesk,775426000,45954159809179,Routing & Automation,,,Routing & Automation,https://help.klaviyo.com/hc/en-us/sections/45954159809179-Routing-Automation
45954023294747,Helpdesk,helpdesk,775426000,45954205436059,Team Workflow & Productivity,,,Team Workflow & Productivity,https://help.klaviyo.com/hc/en-us/sections/45954205436059-Team-Workflow-Productivity
45954023294747,Helpdesk,helpdesk,775426000,45954230121499,Optimization & Analytics,,,Optimization & Analytics,https://help.klaviyo.com/hc/en-us/sections/45954230121499-Optimization-Analytics
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375970379419,Attribution (Advanced KDP and Marketing Analytics),,,Attribution (Advanced KDP and Marketing Analytics),https://help.klaviyo.com/hc/en-us/sections/49375970379419-Attribution-Advanced-KDP-and-Marketing-Analytics
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375750380955,Catalog insights,18073047240091,Intelligence (Advanced KDP & Marketing Analytics),Intelligence (Advanced KDP & Marketing Analytics) > Catalog insights,https://help.klaviyo.com/hc/en-us/sections/49375750380955-Catalog-insights
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375758051483,Customer insights,18073047240091,Intelligence (Advanced KDP & Marketing Analytics),Intelligence (Advanced KDP & Marketing Analytics) > Customer insights,https://help.klaviyo.com/hc/en-us/sections/49375758051483-Customer-insights
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375841945499,Getting started with Marketing Analytics ,,,Getting started with Marketing Analytics ,https://help.klaviyo.com/hc/en-us/sections/49375841945499-Getting-started-with-Marketing-Analytics
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375759137051,Monitors,28478928202523,Data management (Advanced KDP),Data management (Advanced KDP) > Monitors,https://help.klaviyo.com/hc/en-us/sections/49375759137051-Monitors
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375715593115,Predictive models,18073047240091,Intelligence (Advanced KDP & Marketing Analytics),Intelligence (Advanced KDP & Marketing Analytics) > Predictive models,https://help.klaviyo.com/hc/en-us/sections/49375715593115-Predictive-models
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,28478928202523,Data management (Advanced KDP),,,Data management (Advanced KDP),https://help.klaviyo.com/hc/en-us/sections/28478928202523-Data-management-Advanced-KDP
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375651181211,Getting started with Advanced KDP,,,Getting started with Advanced KDP,https://help.klaviyo.com/hc/en-us/sections/49375651181211-Getting-started-with-Advanced-KDP
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375674887195,Transformation,28478928202523,Data management (Advanced KDP),Data management (Advanced KDP) > Transformation,https://help.klaviyo.com/hc/en-us/sections/49375674887195-Transformation
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,18073047240091,Intelligence (Advanced KDP & Marketing Analytics),,,Intelligence (Advanced KDP & Marketing Analytics),https://help.klaviyo.com/hc/en-us/sections/18073047240091-Intelligence-Advanced-KDP-Marketing-Analytics
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375669200027,Syncing,28478928202523,Data management (Advanced KDP),Data management (Advanced KDP) > Syncing,https://help.klaviyo.com/hc/en-us/sections/49375669200027-Syncing
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375670819099,Group membership API (Advanced KDP),,,Group membership API (Advanced KDP),https://help.klaviyo.com/hc/en-us/sections/49375670819099-Group-membership-API-Advanced-KDP
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375661121819,Webhooks,28478928202523,Data management (Advanced KDP),Data management (Advanced KDP) > Webhooks,https://help.klaviyo.com/hc/en-us/sections/49375661121819-Webhooks
18073014919195,Advanced KDP & Marketing Analytics,advanced-kdp-marketing-analytics,775425991,49375648421915,Code,28478928202523,Data management (Advanced KDP),Data management (Advanced KDP) > Code,https://help.klaviyo.com/hc/en-us/sections/49375648421915-Code
49375133274139,Reviews,reviews,775426002,49375642273307,Getting started with reviews,,,Getting started with reviews,https://help.klaviyo.com/hc/en-us/sections/49375642273307-Getting-started-with-reviews
49375133274139,Reviews,reviews,775426002,49375666744731,Build and use reviews,,,Build and use reviews,https://help.klaviyo.com/hc/en-us/sections/49375666744731-Build-and-use-reviews
49375133274139,Reviews,reviews,775426002,49375667326491,Reviews best practices,,,Reviews best practices,https://help.klaviyo.com/hc/en-us/sections/49375667326491-Reviews-best-practices
115000867647,Account & billing,account-billing,775425990,14542887837083,Account,,,Account,https://help.klaviyo.com/hc/en-us/sections/14542887837083-Account
115000867647,Account & billing,account-billing,775425990,49375453955483,How Klaviyo bills,14542873138971,Billing,Billing > How Klaviyo bills,https://help.klaviyo.com/hc/en-us/sections/49375453955483-How-Klaviyo-bills
115000867647,Account & billing,account-billing,775425990,49375455119643,Message settings,14542875478171,"Email, SMS, and push notifications","Email, SMS, and push notifications > Message settings",https://help.klaviyo.com/hc/en-us/sections/49375455119643-Message-settings
115000867647,Account & billing,account-billing,775425990,49375450290331,Personal,14542887837083,Account,Account > Personal,https://help.klaviyo.com/hc/en-us/sections/49375450290331-Personal
115000867647,Account & billing,account-billing,775425990,49375494779547,Preference and hosted pages,14542933069211,Other,Other > Preference and hosted pages,https://help.klaviyo.com/hc/en-us/sections/49375494779547-Preference-and-hosted-pages
115000867647,Account & billing,account-billing,775425990,49375463691547,Adjust your plan,14542873138971,Billing,Billing > Adjust your plan,https://help.klaviyo.com/hc/en-us/sections/49375463691547-Adjust-your-plan
115000867647,Account & billing,account-billing,775425990,14542873138971,Billing,,,Billing,https://help.klaviyo.com/hc/en-us/sections/14542873138971-Billing
115000867647,Account & billing,account-billing,775425990,49375475267099,Organizational,14542887837083,Account,Account > Organizational,https://help.klaviyo.com/hc/en-us/sections/49375475267099-Organizational
115000867647,Account & billing,account-billing,775425990,49375455634203,Sender information,14542875478171,"Email, SMS, and push notifications","Email, SMS, and push notifications > Sender information",https://help.klaviyo.com/hc/en-us/sections/49375455634203-Sender-information
115000867647,Account & billing,account-billing,775425990,49375525020827,UTM tracking,14542933069211,Other,Other > UTM tracking,https://help.klaviyo.com/hc/en-us/sections/49375525020827-UTM-tracking
115000867647,Account & billing,account-billing,775425990,49375523386779,Domains and hosting,14542875478171,"Email, SMS, and push notifications","Email, SMS, and push notifications > Domains and hosting",https://help.klaviyo.com/hc/en-us/sections/49375523386779-Domains-and-hosting
115000867647,Account & billing,account-billing,775425990,49375508721947,Downloaded and scheduled reports,14542933069211,Other,Other > Downloaded and scheduled reports,https://help.klaviyo.com/hc/en-us/sections/49375508721947-Downloaded-and-scheduled-reports
115000867647,Account & billing,account-billing,775425990,14542875478171,"Email, SMS, and push notifications",,,"Email, SMS, and push notifications",https://help.klaviyo.com/hc/en-us/sections/14542875478171-Email-SMS-and-push-notifications
115000867647,Account & billing,account-billing,775425990,49375478116891,Tax information,14542873138971,Billing,Billing > Tax information,https://help.klaviyo.com/hc/en-us/sections/49375478116891-Tax-information
115000867647,Account & billing,account-billing,775425990,49375474735387,Users,14542887837083,Account,Account > Users,https://help.klaviyo.com/hc/en-us/sections/49375474735387-Users
115000867647,Account & billing,account-billing,775425990,49375463241883,API keys,14542887837083,Account,Account > API keys,https://help.klaviyo.com/hc/en-us/sections/49375463241883-API-keys
115000867647,Account & billing,account-billing,775425990,49375526160411,Account troubleshooting,14542933069211,Other,Other > Account troubleshooting,https://help.klaviyo.com/hc/en-us/sections/49375526160411-Account-troubleshooting
115000867647,Account & billing,account-billing,775425990,49375698592155,Portfolio,,,Portfolio,https://help.klaviyo.com/hc/en-us/sections/49375698592155-Portfolio
115000867647,Account & billing,account-billing,775425990,14542933069211,Other,,,Other,https://help.klaviyo.com/hc/en-us/sections/14542933069211-Other
115000867647,Account & billing,account-billing,775425990,49375482397083,Security,14542887837083,Account,Account > Security,https://help.klaviyo.com/hc/en-us/sections/49375482397083-Security
115000867647,Account & billing,account-billing,775425990,49375477142043,Tags,14542887837083,Account,Account > Tags,https://help.klaviyo.com/hc/en-us/sections/49375477142043-Tags
115000867647,Account & billing,account-billing,775425990,49375438295195,Understand Klaviyo,,,Understand Klaviyo,https://help.klaviyo.com/hc/en-us/sections/49375438295195-Understand-Klaviyo
115000874048,Analytics,analytics,775425992,49375656806939,A/B tests,18138285408539,Experiments,Experiments > A/B tests,https://help.klaviyo.com/hc/en-us/sections/49375656806939-A-B-tests
115000874048,Analytics,analytics,775425992,49375268765851,Analyze email results,49375905375899,"Campaign, flow, and audience analytics","Campaign, flow, and audience analytics > Analyze email results",https://help.klaviyo.com/hc/en-us/sections/49375268765851-Analyze-email-results
115000874048,Analytics,analytics,775425992,49375269321883,Email and flow strategies,49375903290651,Analytics calculations and strategies,Analytics calculations and strategies > Email and flow strategies,https://help.klaviyo.com/hc/en-us/sections/49375269321883-Email-and-flow-strategies
115000874048,Analytics,analytics,775425992,49375234472219,Getting started with Klaviyo reporting,14268485813403,Getting started with analytics,Getting started with analytics > Getting started with Klaviyo reporting,https://help.klaviyo.com/hc/en-us/sections/49375234472219-Getting-started-with-Klaviyo-reporting
115000874048,Analytics,analytics,775425992,14268485813403,Getting started with analytics,,,Getting started with analytics,https://help.klaviyo.com/hc/en-us/sections/14268485813403-Getting-started-with-analytics
115000874048,Analytics,analytics,775425992,49375261048347,Getting started with benchmarks,49375929883035,Benchmarks,Benchmarks > Getting started with benchmarks,https://help.klaviyo.com/hc/en-us/sections/49375261048347-Getting-started-with-benchmarks
115000874048,Analytics,analytics,775425992,49375266127259,Getting started with custom reports,49375887679515,Custom reports,Custom reports > Getting started with custom reports,https://help.klaviyo.com/hc/en-us/sections/49375266127259-Getting-started-with-custom-reports
115000874048,Analytics,analytics,775425992,49375226652315,Getting started with dashboards,14073874575899,Dashboards,Dashboards > Getting started with dashboards,https://help.klaviyo.com/hc/en-us/sections/49375226652315-Getting-started-with-dashboards
115000874048,Analytics,analytics,775425992,49375258862875,Getting started with metrics,49375928290587,Metrics,Metrics > Getting started with metrics,https://help.klaviyo.com/hc/en-us/sections/49375258862875-Getting-started-with-metrics
115000874048,Analytics,analytics,775425992,49375724434459,Global experiments,18138285408539,Experiments,Experiments > Global experiments,https://help.klaviyo.com/hc/en-us/sections/49375724434459-Global-experiments
115000874048,Analytics,analytics,775425992,49375689902619,Attribution,,,Attribution,https://help.klaviyo.com/hc/en-us/sections/49375689902619-Attribution
